Community,ApartmentLayout,Area,Floor,ConstructionYear,TotalPrice,UnitPrice,Orientation,RenovationDegree,Elevator,PlotRatio,GreeneryRate,PropertyFee,DistanceToWasteStation_km,SurroundingBusLines_05km,SurroundingSchools_1km,DistanceToSubway_km,DistanceToBusinessDistrict_km,DistanceToPark_km,AgentSafetyScore,AgentComfortScore,AgentValueForMoneyScore,AgentLocationScore,AgentFutureAppreciationScore,AgentEnvironmentalScore,AgentPropertyServiceScore
1,1,84,6,2010,106,12476,1,1,1,1.58,0.4,0.44,1.1,13,4,0.97,6,1.7,4.67,2,3.5,4,3,5,3.5
1,1,78,6,2007,95,12063,2,1,1,1.58,0.4,0.44,1.1,13,4,0.97,6,1.7,4,3,4,4,3,4,4
1,2,101,6,2014,120,11847,1,1,2,1.58,0.4,0.44,1.1,13,4,0.97,6,1.7,1.67,4,2,2.5,3.67,3.5,3.5
1,2,100,5,2010,120,11998,2,1,2,1.58,0.4,0.44,1.1,13,4,0.97,6,1.7,5,5,5,5,5,5,4
1,2,100,6,2010,115,11498,1,2,2,1.58,0.4,0.44,1.1,13,4,0.97,6,1.7,3.67,2,3,3,3,3,3.75
1,2,99,6,2013,105,10513,1,1,2,1.58,0.4,0.44,1.1,13,4,0.97,6,1.7,3,2.5,2,2.5,3.33,4,3.25
1,2,120,6,2014,135,11159,1,2,2,1.58,0.4,0.44,1.1,13,4,0.97,6,1.7,3.67,3.5,4,3.5,3,4.5,4
1,2,131,5,2007,165,12579,2,1,2,1.58,0.4,0.44,1.1,13,4,0.97,6,1.7,3,2.5,3,3.5,4,5,3
1,2,120,6,2015,133,10994,1,1,2,1.58,0.4,0.44,1.1,13,4,0.97,6,1.7,5,4.5,5,4.5,5,5,5
1,2,120,6,2010,136,11242,2,1,2,1.58,0.4,0.44,1.1,13,4,0.97,6,1.7,3.67,3,3,3.5,4.33,5,5
1,2,131,6,2010,158,12045,1,1,2,1.58,0.4,0.44,1.1,13,4,0.97,6,1.7,4.33,2.5,3.5,3.5,4,3,3.75
1,2,100,6,2007,120,11998,2,1,2,1.58,0.4,0.44,1.1,13,4,0.97,6,1.7,3.67,2.5,2.5,2.5,3.33,5,3.5
1,2,100,6,2008,120,11996,2,1,2,1.58,0.4,0.44,1.1,13,4,0.97,6,1.7,4.67,4.5,3.5,4.5,3.67,3.5,4
1,2,131,6,2011,162,12350,2,1,2,1.58,0.4,0.44,1.1,13,4,0.97,6,1.7,4.33,3,3,4,4.33,5,4
1,2,90,6,2010,115,12748,2,2,2,1.58,0.4,0.44,1.1,13,4,0.97,6,1.7,3.33,2.5,1.5,2.5,3,5,3
1,1,84,6,2008,106,12476,1,1,2,1.58,0.4,0.44,1.1,13,4,0.97,6,1.7,4,3,4,5,4,4,4
1,2,131,5,2007,165,12579,2,1,2,1.58,0.4,0.44,1.1,13,4,0.97,6,1.7,2.67,2,2.5,4.5,3.67,4,3.5
1,2,90,6,2014,114.8,12726,1,2,2,1.58,0.4,0.44,1.1,13,4,0.97,6,1.7,4.67,3,4,4.5,2.67,4.5,3.5
1,2,120,6,2008,136,11242,1,2,2,1.58,0.4,0.44,1.1,13,4,0.97,6,1.7,2.67,2.5,3.5,3.5,3.33,3,2.75
1,2,100,6,2008,120,11998,2,1,2,1.58,0.4,0.44,1.1,13,4,0.97,6,1.7,3,1.5,4.5,2,3,5,3.25
1,2,107,6,2010,120,11207,2,1,2,1.58,0.4,0.44,1.1,13,4,0.97,6,1.7,4,2,4,3,4.33,3,3
1,1,84,6,2012,106,12476,2,1,1,1.58,0.4,0.44,1.1,13,4,0.97,6,1.7,4.67,4,5,4.5,4,5,5
1,2,120,6,2014,136,11242,1,1,2,1.58,0.4,0.44,1.1,13,4,0.97,6,1.7,2,3.5,3,3,2,5,3
1,2,100,6,2004,120,11998,2,1,2,1.58,0.4,0.44,1.1,13,4,0.97,6,1.7,2.33,1.5,1,4,4,5,4.5
1,1,84,6,2014,106,12476,1,1,1,1.58,0.4,0.44,1.1,13,4,0.97,6,1.7,4.67,3,4,5,4.33,5,5
1,2,120,6,2012,136,11242,2,1,1,1.58,0.4,0.44,1.1,13,4,0.97,6,1.7,4,4.5,4,4,4,5,4
1,2,120,6,2014,136,11242,1,1,2,1.58,0.4,0.44,1.1,13,4,0.97,6,1.7,4,3,3,3,2.67,4,4.25
1,2,107,6,2010,120,11207,2,1,2,1.58,0.4,0.44,1.1,13,4,0.97,6,1.7,3.67,3,4,4,3.33,3.5,4.25
1,1,84,6,2008,106,12476,1,1,2,1.58,0.4,0.44,1.1,13,4,0.97,6,1.7,2.67,3,3,3,3,3,3.25
1,2,120,6,2012,136,11242,1,1,2,1.58,0.4,0.44,1.1,13,4,0.97,6,1.7,3,2,3.5,3.5,4,5,3.75
1,1,84,6,2015,106,12476,1,1,2,1.58,0.4,0.44,1.1,13,4,0.97,6,1.7,4,4,3,4,4,4,3
1,2,100,6,2010,120,11998,2,1,2,1.58,0.4,0.44,1.1,13,4,0.97,6,1.7,3,3,4,4,4.33,4.5,3.75
1,2,120,6,2012,136,11242,1,1,2,1.58,0.4,0.44,1.1,13,4,0.97,6,1.7,4.67,2.5,3.5,3,3.33,5,4
1,1,84,6,2010,106,12476,1,2,2,1.58,0.4,0.44,1.1,13,4,0.97,6,1.7,3,2,2.5,4,3.67,5,3
